root,verb_forms,count_vf,frequency,romanized
अजमा,अजमा,1,1,ajamA
अट,अटे,1,1,aTa
अटक,"अटक,अटकता,अटकने,अटके",4,3,aTaka
अटका,अटकाने,1,1,aTakA
अड,"अड़ी,अड़,अड़े",3,5,aDa
अनजान,अनजाने,1,2,anajAna
अपना,"अपनाई,अपनाये,अपनाना,अपनाया,अपनायी,अपनाने,अपनायें,अपना,अपनानी,अपनाता,अपनाएगी,अपनाते,अपनाए,अपनाती,अपनाओगे,अपनाएगा",16,1593,apanA
अलाप,"अलापा,अलापते",2,3,alApa
अड़,"अड़ा,अड़कर,अड़े",3,4,a.Da
आ,"आई,आ,आना,आकर,आए,आया,आने,आएगी,आती,आएंगे,आएगा,आते,आता,आये,आयी,आईं,आएं,आइए,आएँ,आनी,आएंगी,आओ,आएँगे,आऊँगा,आओगे,आनेवाले",26,1056,A
आँक,"आँकी,आँक",2,6,A.Nka
आंक,"आंकी,आंकते,आंका,आंकें",4,5,AMka
आंकना,आंकना,1,1,AMkanA
आजमा,"आज़मा,आजमाया,आजमाने,आजमाना,आजमा,आजमाकर",6,7,AjamA
आन,आन,1,1,Ana
इज,इज,1,2,ija
उकसा,"उकसाना,उकसाते,उकसाया,उकसाने",4,3,ukasA
उकेर,"उकेरी,उकेरा,उकेरे",3,2,ukera
उखड,"उखड़,उखड़े",2,4,ukhaDa
उखड़,उखड़े,1,1,ukha.Da
उखाड,"उखाड़ने,उखाड़,उखाड़कर,उखाड़",4,6,ukhADa
उग,"उगा,उगता,उगने,उगेगा,उगते,उग",6,1,uga
उगल,"उगलते,उगलवा,उगलने,उगलवाने",4,4,ugala
उगा,"उगाया,उगाई,उगाने,उगाएं",4,4,ugA
उगाह,उगाह,1,1,ugAha
उघाड,उघाड़,1,1,ughADa
उछल,"उछल,उछले,उछलती,उछलकर,उछलने,उछलते",6,7,uChala
उछाल,"उछाला,उछालने,उछाली,उछाल",4,18,uChAla
उजड,उजड़े,1,2,ujaDa
उठ,"उठा,उठने,उठ,उठता,उठते,उठे,उठती,उठकर,उठी,उठतीं,उठेंगे,उठो,उठेगा",13,64,uTha
उठा,"उठाए,उठाई,उठाना,उठाने,उठाते,उठाता,उठाये,उठाएं,उठाइए,उठाकर,उठाया,उठाएंगे,उठाएगी,उठाएगा,उठाएँगे,उठानी,उठाती,उठायी,उठाइएगा,उठाएँ",20,246,uThA
उड,"उड़,उड़ता,उड़ने",3,8,uDa
उडा,"उड़ाते,उड़ाने,उड़ाया",3,6,uDA
उतर,"उतरने,उतरता,उतरेगा,उतरेंगे,उतर,उतरे,उतरना,उतरकर,उतरी,उतरते,उतरा,उतरती",12,56,utara
उतरा,"उतराती,उतराते",2,1,utarA
उतार,"उतारा,उतारे,उतारेगी,उतार,उतारने,उतारेंगी,उतारी,उतारेगा,उतारेंगे,उतारकर,उतारना",11,30,utAra
उधेड,उधेड़ी,1,1,udheDa
उपज,"उपजने,उपजे,उपजी",3,6,upaja
उफनाने,उफनाने,1,1,uphanAne
उबर,"उबरे,उबरने,उबरते,उबर,उबरना,उबरकर",6,18,ubara
उबल,उबल,1,1,ubala
उबार,"उबारने,उबारा",2,4,ubAra
उबाल,"उबाल,उबालें,उबालिए,उबालकर",4,2,ubAla
उभर,"उभरते,उभर,उभरता,उभरे,उभरती,उभरेगी,उभरने,उभरा,उभरकर",9,22,ubhara
उमड,"उमड़ी,उमड़ी,उमड़ा,उमड़ने",4,4,umaDa
उलझ,"उलझना,उलझने,उलझ",3,5,ulajha
उलट,"उलट,उलटकर",2,4,ulaTa
उलटपुलट,उलटपुलटकर,1,1,ulaTapulaTa
उड़,"उड़ती,उड़ेंगी",2,6,u.Da
उड़ा,"उड़ा,उड़ाना,उड़ाकर,उड़ाते,उड़ाई",5,19,u.DA
ऐंठ,ऐंठते,1,1,aiMTha
ऐठ,"ऐठने,ऐठा",2,2,aiTha
ओढ,"ओढ़कर,ओढ़े",2,1,oDha
ओढ़ा,ओढ़ाया,1,1,o.DhA
कंपकंपा,कंपकंपा,1,1,kaMpakaMpA
कट,"कटवा,कटे,कटने,कटकर,कटी,कटा,कट,कटेगी",8,8,kaTa
कढ,कढ़ी,1,1,kaDha
कतर,कतर,1,4,katara
कतरा,"कतरा,कतराता,कतराती",3,5,katarA
कबूल,कबूलने,1,6,kabUla
कमा,"कमाए,कमा,कमाने,कमाया,कमाकर,कमाओ",6,16,kamA
कर,"किया,की,कर,करने,करें,करते,करेगी,करेंगे,करती,किए,करता,कीं,करना,करेगा,करके,किये,करे,करनी,कीजिये,करनेवाले,करवाते,करेंगी,करवाया,करो,कराके,करूँगी,करवाकर,करूंगा,करतीं,करवाएंगे,करेगें,करूंगी,करुंगी,करूँगा,करूं,करोगे,करूँ,कीजिएगा,करोगी,करवाएगा",40,9547,kara
करवा,"करवा,करवाता,करवाए,करवाने,करवाना,करवाई,करवाएगी,करवाती",8,21,karavA
करा,"कराना,कराने,करा,कराये,करायी,कराकर,कराई,कराते,कराती,कराया,कराएगी,कराएंगे,कराए,कराओ,कराता,कराएगा,कराऊंगा,कराएं,करानी,कराएगें,कराइए",21,388,karA
कराह,"कराहते,कराह",2,3,karAha
कस,"कस,कसा,कसने,कसना,कसता,कसी",6,13,kasa
कसमसा,कसमसाते,1,1,kasamasA
कह,"कह,कहते,कहा,कहना,कहे,कही,कहकर,कहती,कहें,कहेगी,कहता,कहूंगा,कहतीं,कहीं,कहनी,कहेंगे,कहेंगी,कहोगी,कहूँगा,कहो,कहिए",21,3903,kaha
कहला,"कहलाती,कहलाता,कहलाते,कहलाएँगे,कहलाने,कहलाएंगे",6,6,kahalA
कांप,"कांप,कांपने,कांपेंगे,कांपते",4,5,kAMpa
काट,"काटने,काटे,काटते,काट,काटता,काटना,काटती,काटी,काटें,काटकर,काटनी,काटा",12,44,kATa
कुचल,"कुचलकर,कुचल,कुचलने,कुचलना,कुचलता",5,13,kuchala
कुतर,कुतरा,1,1,kutara
कुबूल,कुबूलने,1,2,kubUla
कुरेद,"कुरेदते,कुरेदने",2,2,kureda
कूद,"कूद,कूदने,कूदकर,कूदी,कूदेंगी,कूदा",6,8,kUda
कोस,"कोसते,कोसो,कोसने",3,9,kosa
कौंध,कौंधी,1,2,kauMdha
कढ़ा,कढ़े,1,1,kaढ़A
खंगाल,"खंगाले,खंगालना",2,2,khaMgAla
खटक,"खटक,खटकती",2,4,khaTaka
खटखटा,"खटखटाना,खटखटाया,खटखटाएंगे,खटखटाओ",4,9,khaTakhaTA
खदेड,"खदेड़,खदेड़ने,खदेड़ा",3,6,khadeDa
खरीद,"खरीद,खरीदना,खरीदने,खरीदा,खरीदनी,खरीदे,खरीदकर,खरीदी,खरीदेगी,खरीदें",10,97,kharIda
खर्च,खर्च,1,75,kharcha
खा,"खाने,खाते,खाई,खा,खाकर,खाता,खाया,खानी,खाना,खाऊंगी,खाएँ,खाके,खाइये,खाएंगे,खाएगा,खाइए,खाए",17,70,khA
खिँच,"खिंचवाए,खिंचवाई",2,3,khi.Ncha
खिँचवा,खिंचवाने,1,1,khi.NchavA
खिंचवा,खिंचवाणा,1,1,khiMchavA
खिल,"खिलने,खिल,खिली,खिले,खिलते,खिलता",6,9,khila
खिला,"खिलाता,खिलाएं,खिलाया,खिलाना,खिलाते,खिलाने,खिलाई,खिलाकर,खिला,खिलानी,खिलाओ",11,8,khilA
खिसक,"खिसकती,खिसक,खिसकने,खिसककर",4,10,khisaka
खिसिया,"खिसियाये,खिसिया",2,2,khisiyA
खींच,"खींचा,खींच,खींचने,खींचेगा,खींची,खींचता,खींचना,खींचती,खींचते,खींचनी,खींचो",11,29,khIMcha
खीच,खीचीं,1,1,khIcha
खीझ,खीझकर,1,1,khIjha
खुद,"खुदवाया,खुदे",2,104,khuda
खुल,"खुली,खुले,खुल,खुलने,खुला,खुलती,खुलेंगे,खुलीं,खुलेगा,खुलकर,खुलते,खुलेंगी,खुलता",13,73,khula
खुलवा,"खुलवा,खुलवाने,खुलवाया,खुलवाकर,खुलवाए",5,10,khulavA
खेल,"खेलने,खेल,खेले,खेलते,खेलकर,खेली,खेलना,खेला,खेलें,खेलती,खेलो,खेलीं",12,93,khela
खेला,खेलाया,1,1,khelA
खो,"खो,खोने,खोते,खोएं,खोना,खोई,खोकर",7,27,kho
खोज,"खोज,खोजने,खोजते,खोजी,खोजे,खोजना,खोजा",7,27,khoja
खोद,"खुदवाने,खोदने,खोदकर,खोद",4,3,khoda
खोल,"खोलने,खोलें,खोल,खोलकर,खोले,खोला,खोलेगा,खोलते,खोली,खोलना,खोलेंगे",11,109,khola
खौल,खौलता,1,1,khaula
खड़क,खड़कने,1,1,kha.Daka
खड़ा,"खड़ा,खड़े",2,52,kha.DA
गँवा,"गंवाना,गंवा,गंवाने,गंवानी,गँवाने",5,5,ga.NvA
गंवा,"गंवाई,गंवाए",2,3,gaMvA
गड,गड़ी,1,1,gaDa
गडबडा,गड़बड़ाए,1,1,gaDabaDA
गढ,गढ़,1,1,gaDha
गरज,"गरजे,गरजते,गरजने",3,7,garaja
गरमा,"गरमा,गरमाया",2,3,garamA
गरिया,गरियाते,1,1,gariyA
गल,"गलने,गल,गला",3,1,gala
गवा,"गवाया,गवाने,गवाते",3,2,gavA
गवाँ,गवांनी,1,1,gavA.N
गहरा,"गहराने,गहरा",2,10,gaharA
गा,"गाकर,गाते,गा,गाया,गाए,गाने,गाओ",7,7,gA
गिना,"गिनाए,गिनाते,गिनाया",3,6,ginA
गिर,"गिरना,गिर,गिरी,गिरकर,गिरती,गिरा,गिरते,गिरे,गिरता,गिरीं",10,56,gira
गिरा,"गिराए,गिराने,गिराया,गिराना",4,18,girA
