root,verb_forms,count_vf,frequency,romanized,root_length
v,,1.0,13.0,v,1
अजमा,अजमा,1.0,1.0,ajamA,4
अट,अटे,1.0,1.0,aTa,2
अटक,"अटक,अटकता,अटकने,अटके",4.0,3.0,aTaka,3
अटका,अटकाने,1.0,1.0,aTakA,4
अड,"अड़ी,अड़,अड़े",3.0,5.0,aDa,2
अनजान,अनजाने,1.0,2.0,anajAna,5
अपना,"अपनाई,अपनाये,अपनाना,अपनाया,अपनायी,अपनाने,अपनायें,अपना,अपनानी,अपनाता,अपनाएगी,अपनाते,अपनाए,अपनाती,अपनाओगे,अपनाएगा",16.0,1593.0,apanA,4
अलाप,"अलापा,अलापते",2.0,3.0,alApa,4
अड़,"अड़ा,अड़कर,अड़े",3.0,4.0,a.Da,2
आ,"आई,आ,आना,आकर,आए,आया,आने,आएगी,आती,आएंगे,आएगा,आते,आता,आये,आयी,आईं,आएं,आइए,आएँ,आनी,आएंगी,आओ,आएँगे,आऊँगा,आओगे,आनेवाले",26.0,1056.0,A,1
आँक,"आँकी,आँक",2.0,6.0,A.Nka,3
आंक,"आंकी,आंकते,आंका,आंकें",4.0,5.0,AMka,3
आंकना,आंकना,1.0,1.0,AMkanA,5
आजमा,"आज़मा,आजमाया,आजमाने,आजमाना,आजमा,आजमाकर",6.0,7.0,AjamA,4
आन,आन,1.0,1.0,Ana,2
इज,इज,1.0,2.0,ija,2
उकसा,"उकसाना,उकसाते,उकसाया,उकसाने",4.0,3.0,ukasA,4
उकेर,"उकेरी,उकेरा,उकेरे",3.0,2.0,ukera,4
उखड,"उखड़,उखड़े",2.0,4.0,ukhaDa,3
उखड़,उखड़े,1.0,1.0,ukha.Da,4
उखाड,"उखाड़ने,उखाड़,उखाड़कर,उखाड़",4.0,6.0,ukhADa,4
उग,"उगा,उगता,उगने,उगेगा,उगते,उग",6.0,1.0,uga,2
उगल,"उगलते,उगलवा,उगलने,उगलवाने",4.0,4.0,ugala,3
उगा,"उगाया,उगाई,उगाने,उगाएं",4.0,4.0,ugA,3
उगाह,उगाह,1.0,1.0,ugAha,4
उघाड,उघाड़,1.0,1.0,ughADa,4
उछल,"उछल,उछले,उछलती,उछलकर,उछलने,उछलते",6.0,7.0,uChala,3
उछाल,"उछाला,उछालने,उछाली,उछाल",4.0,18.0,uChAla,4
उजड,उजड़े,1.0,2.0,ujaDa,3
उठ,"उठा,उठने,उठ,उठता,उठते,उठे,उठती,उठकर,उठी,उठतीं,उठेंगे,उठो,उठेगा",13.0,64.0,uTha,2
उठा,"उठाए,उठाई,उठाना,उठाने,उठाते,उठाता,उठाये,उठाएं,उठाइए,उठाकर,उठाया,उठाएंगे,उठाएगी,उठाएगा,उठाएँगे,उठानी,उठाती,उठायी,उठाइएगा,उठाएँ",20.0,246.0,uThA,3
उड,"उड़,उड़ता,उड़ने",3.0,8.0,uDa,2
उडा,"उड़ाते,उड़ाने,उड़ाया",3.0,6.0,uDA,3
उतर,"उतरने,उतरता,उतरेगा,उतरेंगे,उतर,उतरे,उतरना,उतरकर,उतरी,उतरते,उतरा,उतरती",12.0,56.0,utara,3
उतरा,"उतराती,उतराते",2.0,1.0,utarA,4
उतार,"उतारा,उतारे,उतारेगी,उतार,उतारने,उतारेंगी,उतारी,उतारेगा,उतारेंगे,उतारकर,उतारना",11.0,30.0,utAra,4
उधेड,उधेड़ी,1.0,1.0,udheDa,4
उपज,"उपजने,उपजे,उपजी",3.0,6.0,upaja,3
उफनाने,उफनाने,1.0,1.0,uphanAne,6
उबर,"उबरे,उबरने,उबरते,उबर,उबरना,उबरकर",6.0,18.0,ubara,3
उबल,उबल,1.0,1.0,ubala,3
उबार,"उबारने,उबारा",2.0,4.0,ubAra,4
उबाल,"उबाल,उबालें,उबालिए,उबालकर",4.0,2.0,ubAla,4
उभर,"उभरते,उभर,उभरता,उभरे,उभरती,उभरेगी,उभरने,उभरा,उभरकर",9.0,22.0,ubhara,3
उमड,"उमड़ी,उमड़ी,उमड़ा,उमड़ने",4.0,4.0,umaDa,3
उलझ,"उलझना,उलझने,उलझ",3.0,5.0,ulajha,3
उलट,"उलट,उलटकर",2.0,4.0,ulaTa,3
उलटपुलट,उलटपुलटकर,1.0,1.0,ulaTapulaTa,7
उड़,"उड़ती,उड़ेंगी",2.0,6.0,u.Da,2
उड़ा,"उड़ा,उड़ाना,उड़ाकर,उड़ाते,उड़ाई",5.0,19.0,u.DA,3
ऐंठ,ऐंठते,1.0,1.0,aiMTha,3
ऐठ,"ऐठने,ऐठा",2.0,2.0,aiTha,2
ओढ,"ओढ़कर,ओढ़े",2.0,1.0,oDha,2
ओढ़ा,ओढ़ाया,1.0,1.0,o.DhA,4
कंपकंपा,कंपकंपा,1.0,1.0,kaMpakaMpA,7
कट,"कटवा,कटे,कटने,कटकर,कटी,कटा,कट,कटेगी",8.0,8.0,kaTa,2
कढ,कढ़ी,1.0,1.0,kaDha,2
कतर,कतर,1.0,4.0,katara,3
कतरा,"कतरा,कतराता,कतराती",3.0,5.0,katarA,4
कबूल,कबूलने,1.0,6.0,kabUla,4
कमा,"कमाए,कमा,कमाने,कमाया,कमाकर,कमाओ",6.0,16.0,kamA,3
कर,"किया,की,कर,करने,करें,करते,करेगी,करेंगे,करती,किए,करता,कीं,करना,करेगा,करके,किये,करे,करनी,कीजिये,करनेवाले,करवाते,करेंगी,करवाया,करो,कराके,करूँगी,करवाकर,करूंगा,करतीं,करवाएंगे,करेगें,करूंगी,करुंगी,करूँगा,करूं,करोगे,करूँ,कीजिएगा,करोगी,करवाएगा",40.0,9547.0,kara,2
करवा,"करवा,करवाता,करवाए,करवाने,करवाना,करवाई,करवाएगी,करवाती",8.0,21.0,karavA,4
करा,"कराना,कराने,करा,कराये,करायी,कराकर,कराई,कराते,कराती,कराया,कराएगी,कराएंगे,कराए,कराओ,कराता,कराएगा,कराऊंगा,कराएं,करानी,कराएगें,कराइए",21.0,388.0,karA,3
कराह,"कराहते,कराह",2.0,3.0,karAha,4
कस,"कस,कसा,कसने,कसना,कसता,कसी",6.0,13.0,kasa,2
कसमसा,कसमसाते,1.0,1.0,kasamasA,5
कह,"कह,कहते,कहा,कहना,कहे,कही,कहकर,कहती,कहें,कहेगी,कहता,कहूंगा,कहतीं,कहीं,कहनी,कहेंगे,कहेंगी,कहोगी,कहूँगा,कहो,कहिए",21.0,3903.0,kaha,2
कहला,"कहलाती,कहलाता,कहलाते,कहलाएँगे,कहलाने,कहलाएंगे",6.0,6.0,kahalA,4
कांप,"कांप,कांपने,कांपेंगे,कांपते",4.0,5.0,kAMpa,4
काट,"काटने,काटे,काटते,काट,काटता,काटना,काटती,काटी,काटें,काटकर,काटनी,काटा",12.0,44.0,kATa,3
कुचल,"कुचलकर,कुचल,कुचलने,कुचलना,कुचलता",5.0,13.0,kuchala,4
कुतर,कुतरा,1.0,1.0,kutara,4
कुबूल,कुबूलने,1.0,2.0,kubUla,5
कुरेद,"कुरेदते,कुरेदने",2.0,2.0,kureda,5
कूद,"कूद,कूदने,कूदकर,कूदी,कूदेंगी,कूदा",6.0,8.0,kUda,3
कोस,"कोसते,कोसो,कोसने",3.0,9.0,kosa,3
कौंध,कौंधी,1.0,2.0,kauMdha,4
कढ़ा,कढ़े,1.0,1.0,kaढ़A,3
खंगाल,"खंगाले,खंगालना",2.0,2.0,khaMgAla,5
खटक,"खटक,खटकती",2.0,4.0,khaTaka,3
खटखटा,"खटखटाना,खटखटाया,खटखटाएंगे,खटखटाओ",4.0,9.0,khaTakhaTA,5
खदेड,"खदेड़,खदेड़ने,खदेड़ा",3.0,6.0,khadeDa,4
खरीद,"खरीद,खरीदना,खरीदने,खरीदा,खरीदनी,खरीदे,खरीदकर,खरीदी,खरीदेगी,खरीदें",10.0,97.0,kharIda,4
खर्च,खर्च,1.0,75.0,kharcha,4
खा,"खाने,खाते,खाई,खा,खाकर,खाता,खाया,खानी,खाना,खाऊंगी,खाएँ,खाके,खाइये,खाएंगे,खाएगा,खाइए,खाए",17.0,70.0,khA,2
खिँच,"खिंचवाए,खिंचवाई",2.0,3.0,khi.Ncha,4
खिँचवा,खिंचवाने,1.0,1.0,khi.NchavA,6
खिंचवा,खिंचवाणा,1.0,1.0,khiMchavA,6
खिल,"खिलने,खिल,खिली,खिले,खिलते,खिलता",6.0,9.0,khila,3
खिला,"खिलाता,खिलाएं,खिलाया,खिलाना,खिलाते,खिलाने,खिलाई,खिलाकर,खिला,खिलानी,खिलाओ",11.0,8.0,khilA,4
खिसक,"खिसकती,खिसक,खिसकने,खिसककर",4.0,10.0,khisaka,4
खिसिया,"खिसियाये,खिसिया",2.0,2.0,khisiyA,6
खींच,"खींचा,खींच,खींचने,खींचेगा,खींची,खींचता,खींचना,खींचती,खींचते,खींचनी,खींचो",11.0,29.0,khIMcha,4
खीच,खीचीं,1.0,1.0,khIcha,3
खीझ,खीझकर,1.0,1.0,khIjha,3
खुद,"खुदवाया,खुदे",2.0,104.0,khuda,3
खुल,"खुली,खुले,खुल,खुलने,खुला,खुलती,खुलेंगे,खुलीं,खुलेगा,खुलकर,खुलते,खुलेंगी,खुलता",13.0,73.0,khula,3
खुलवा,"खुलवा,खुलवाने,खुलवाया,खुलवाकर,खुलवाए",5.0,10.0,khulavA,5
खेल,"खेलने,खेल,खेले,खेलते,खेलकर,खेली,खेलना,खेला,खेलें,खेलती,खेलो,खेलीं",12.0,93.0,khela,3
खेला,खेलाया,1.0,1.0,khelA,4
खो,"खो,खोने,खोते,खोएं,खोना,खोई,खोकर",7.0,27.0,kho,2
खोज,"खोज,खोजने,खोजते,खोजी,खोजे,खोजना,खोजा",7.0,27.0,khoja,3
खोद,"खुदवाने,खोदने,खोदकर,खोद",4.0,3.0,khoda,3
खोल,"खोलने,खोलें,खोल,खोलकर,खोले,खोला,खोलेगा,खोलते,खोली,खोलना,खोलेंगे",11.0,109.0,khola,3
खौल,खौलता,1.0,1.0,khaula,3
खड़क,खड़कने,1.0,1.0,kha.Daka,3
खड़ा,"खड़ा,खड़े",2.0,52.0,kha.DA,3
गँवा,"गंवाना,गंवा,गंवाने,गंवानी,गँवाने",5.0,5.0,ga.NvA,4
गंवा,"गंवाई,गंवाए",2.0,3.0,gaMvA,4
गड,गड़ी,1.0,1.0,gaDa,2
गडबडा,गड़बड़ाए,1.0,1.0,gaDabaDA,5
गढ,गढ़,1.0,1.0,gaDha,2
गरज,"गरजे,गरजते,गरजने",3.0,7.0,garaja,3
गरमा,"गरमा,गरमाया",2.0,3.0,garamA,4
गरिया,गरियाते,1.0,1.0,gariyA,5
गल,"गलने,गल,गला",3.0,1.0,gala,2
गवा,"गवाया,गवाने,गवाते",3.0,2.0,gavA,3
गवाँ,गवांनी,1.0,1.0,gavA.N,4
गहरा,"गहराने,गहरा",2.0,10.0,gaharA,4
गा,"गाकर,गाते,गा,गाया,गाए,गाने,गाओ",7.0,7.0,gA,2
गिना,"गिनाए,गिनाते,गिनाया",3.0,6.0,ginA,4
गिर,"गिरना,गिर,गिरी,गिरकर,गिरती,गिरा,गिरते,गिरे,गिरता,गिरीं",10.0,56.0,gira,3
गिरा,"गिराए,गिराने,गिराया,गिराना",4.0,18.0,girA,4
गुजर,"गुजरने,गुजर,गुज़रने,गुजरना,गुजरती,गुजरते,गुजरे,गुजरा,गुजरेगा,गुज़रना,गुजरेंगे,गुजरी,गुजरता",13.0,27.0,gujara,4
गुजार,"गुजारने,गुजारनी,गुजारी,गुजारना",4.0,6.0,gujAra,5
गुर्रा,गुर्राते,1.0,1.0,gurrA,6
गुस्सा,"गुस्साए,गुस्साई",2.0,20.0,gussA,6
गूँज,"गूँजा,गूँजती,गूँजने,गूँज",4.0,1.0,gU.Nja,4
गूंज,"गूंजने,गूंज",2.0,5.0,gUMja,4
गूंजा,गूंजी,1.0,2.0,gUMjA,5
गूंथ,"गूंथ,गूंथे,गूंथें",3.0,2.0,gUMtha,4
गड़ा,गड़ाए,1.0,1.0,ga.DA,3
